Movie Title
3 Idiots
Taare Zameen Par
PK (film)
Dangal (film)
Rang De Basanti
Lagaan
My Name Is Khan
Swades
Gangs of Wasseypur
Gangs of Wasseypur â€“ Part 2
Barfi!
Chak De! India
Munna Bhai M.B.B.S.
Bajrangi Bhaijaan
Dil Chahta Hai
Zindagi Na Milegi Dobara
Dilwale Dulhania Le Jayenge
Kal Ho Naa Ho
Drishyam (2015 film)
Gunday
Queen (2014 film)
Children of Heaven
Bhaag Milkha Bhaag
Kahaani
Ghajini (2008 film)
Andhadhun
Hera Pheri (2000 film)
Airlift (film)
Baby (2015 Hindi film)
Jab Tak Hai Jaan
Sholay
Don 2
Haider (film)
Special 26
Andaz Apna Apna
OMG â€“ Oh My God!
Veer-Zaara
Chennai Express
Kuch Kuch Hota Hai
The Lunchbox
Jab We Met
Sanju
Kabhi Khushi Kabhie Gham...
Dhoom 3
Rab Ne Bana Di Jodi
Fan (film)
Udaan (2010 film)
Lage Raho Munna Bhai
Vishwaroopam
Raees (film)
Talaash: The Answer Lies Within
Vicky Donor
Ra.One
Om Shanti Om
Rockstar (2011 film)
Devdas (2002 Hindi film)
Uri: The Surgical Strike
Yeh Jawaani Hai Deewani
Sultan (2016 film)
Pink (2016 film)
Dear Zindagi
Don (2006 Hindi film)
Happy New Year (2014 film)
Black (2005 film)
English Vinglish
Race 3
Paan Singh Tomar (film)
Main Hoon Na
Dilwale (2015 film)
M.S. Dhoni: The Untold Story
Fanaa (2006 film)
Bajirao Mastani
Jodhaa Akbar
Raanjhanaa
Ek Tha Tiger
Talvar (film)
Dabangg
Piku
Wake Up Sid
Mohabbatein
Delhi Belly (film)
Dil Se..
Kai Po Che!
Aashiqui 2
Padmaavat
Tanu Weds Manu: Returns
Baazigar
Highway (2014 Hindi film)
Udta Punjab
Anand (1971 film)
Holiday: A Soldier Is Never Off Duty
Sarfarosh
Kaabil
Stree (2018 film)
Gully Boy
Kick (2014 film)
2 States (2014 film)
Dhoom 2
Badhaai Ho
Zero (2018 film)
Gabbar Is Back
Madras Cafe
Darr
Agneepath (2012 film)
Rustom (film)
Bodyguard (2011 Hindi film)
Kapoor & Sons
Khosla Ka Ghosla
Kabir Singh
Bang Bang!
Guru (2007 film)
Raazi
Jo Jeeta Wohi Sikandar
Badlapur (film)
Masaan
Namastey London
Tiger Zinda Hai
Rock On!!
Bhool Bhulaiyaa
Koi... Mil Gaya
Dil To Pagal Hai
Neerja
Ae Dil Hai Mushkil
Lakshya (film)
Pyaar Ka Punchnama
Hindi Medium
Parmanu: The Story of Pokhran
The Namesake (film)
Secret Superstar
Omkara (2006 film)
Ugly (film)
Hum Aapke Hain Koun..!
Sonu Ke Titu Ki Sweety
Wanted (2009 film)
Jab Harry Met Sejal
Goliyon Ki Raasleela Ram-Leela
Kabhi Alvida Naa Kehna
Rocket Singh: Salesman of the Year
Black Friday (2007 film)
Dhoom
Manjhi â€“ The Mountain Man
Krrish
Tumbbad
Kabhi Haan Kabhi Naa
Prem Ratan Dhan Payo
Gol Maal
Welcome (2007 film)
Thugs of Hindostan
Guzaarish (film)
Hum Dil De Chuke Sanam
Jai Ho (film)
Simmba
Toilet: Ek Prem Katha
Dum Laga Ke Haisha
Kaminey
Baadshah (1999 film)
Badla (2019 film)
Tere Naam
Once Upon a Time in Mumbaai
Jolly LLB
Oye Lucky! Lucky Oye!
Ek Villain
Bareilly Ki Barfi
Iqbal (film)
Sarkar (2005 film)
Detective Byomkesh Bakshy!
Race 2
Gangaajal
Baghban (2003 film)
Khakee
Band Baaja Baaraat
Dabangg 2
Super 30 (film)
Phir Hera Pheri
Lootera
Newton (film)
Love Aaj Kal
Chalte Chalte (2003 film)
Golmaal: Fun Unlimited
Shahid (film)
Company (film)
The Legend of Bhagat Singh
Article 15 (film)
Student of the Year
Singh Is Kinng
Singham
Raid (2018 film)
Dil Dhadakne Do
Pyaar Ka Punchnama 2
Tubelight (2017 Hindi film)
Dostana (2008 film)
Pardes (film)
Gulaal (film)
Mr. India (1987 film)
Student of the Year 2
Hasee Toh Phasee
AÅ›oka (film)
Kaho Naa... Pyaar Hai
Nayak (2001 Hindi film)
Cocktail (2012 film)
Garam Masala (2005 film)
Mujhse Shaadi Karogi
Hum Tum
Housefull 2
Mulk (film)
Tanu Weds Manu
Desi Boyz
Satya (1998 film)
Saaho
Heyy Babyy
Jaane Bhi Do Yaaro
Karan Arjun
Race (2008 film)
Paheli
Yes Boss (film)
Dhobi Ghat (film)
Chachi 420
Kites (film)
Housefull (2010 film)
Dhamaal
Vaastav: The Reality
Aankhen (2002 film)
Madaari
Hungama (2003 film)
NH10 (film)
Raman Raghav 2.0
Ajab Prem Ki Ghazab Kahani
Peepli Live
October (2018 film)
MSG: The Messenger
Fashion (2008 film)
Brothers (2015 film)
Paa (film)
Kesari (film)
Roja
Johnny Gaddaar
Go Goa Gone
Irudhi Suttru
Hey Ram
Bheja Fry (film)
Te3n
Tees Maar Khan (2010 film)
Chupke Chupke
Table No. 21
Ghulam (film)
Shaadi Mein Zaroor Aana
The Ghazi Attack
Partner (2007 film)
Don (1978 film)
No One Killed Jessica
Maine Pyar Kiya
Gold (2018 film)
Humpty Sharma Ki Dulhania
Life in a... Metro
Tere Bin Laden
No Entry
Mohenjo Daro (film)
Qayamat Se Qayamat Tak
Boss (2013 Hindi film)
Fukrey
New York (2009 film)
Mardaani
Billu
Karthik Calling Karthik
Bachna Ae Haseeno
Karwaan
Gunda (1998 film)
Ishqiya
Gadar: Ek Prem Katha
Bhagam Bhag
Mary Kom (film)
Deewaar
Ishq (1997 film)
Shivaay
Shanghai (2012 film)
Kalank
Waqt: The Race Against Time
Aitraaz
Luck by Chance
Mangal Pandey: The Rising
Badrinath Ki Dulhania
Josh (2000 film)
Shootout at Lokhandwala
Taxi No. 9211
Khatta Meetha (2010 film)
Ankhon Dekhi
Parineeta (2005 film)
Rangeela (1995 film)
D-Day (2013 film)
Mere Brother Ki Dulhan
MSG-2 The Messenger
Dhadak
Patiala House (film)
Trapped (2016 Hindi film)
Vivah
Son of Sardaar
Jagga Jasoos
Hichki
Ladies vs Ricky Bahl
The Dirty Picture
Yuva
Maqbool
Phantom (2015 film)
Salaam Bombay!
Mother India
Agneepath (1990 film)
Koyla
Baaghi 2
Shaitan (film)
Jaan-E-Mann
Bol Bachchan
Ajnabee (2001 film)
Himmatwala (2013 film)
Heropanti
Judwaa 2
Manikarnika: The Queen of Jhansi
Mom (film)
Golmaal Again
MSG: The Warrior Lion Heart
Chandni Chowk to China
Sachin: A Billion Dreams
Humshakals
Mission Mangal
Mohra
Awara Paagal Deewana
I Hate Luv Storys
Bhoothnath
Chup Chup Ke
Khoobsurat (2014 film)
Singh Is Bliing
Saawariya
Main Tera Hero
Entertainment (2014 film)
Socha Na Tha
Raju Ban Gaya Gentleman
Shubh Mangal Saavdhan
Veer (2010 film)
Sarkar Raj
Roy (film)
Singham Returns
Agent Vinod (2012 film)
Guide (film)
Dedh Ishqiya
Rocky Handsome
Shamitabh
Force (2011 film)
Duplicate (1998 film)
Befikre
Mughal-e-Azam
Page 3 (film)
Delhi-6
Raja Hindustani
Golmaal Returns
Aag (2007 film)
De Dana Dan
Dhadkan
Saathiya (film)
Phir Bhi Dil Hai Hindustani
Amar Akbar Anthony
Chillar Party
Love per Square Foot
Rehnaa Hai Terre Dil Mein
Salaam Namaste
Ishaqzaade
Once Upon ay Time in Mumbai Dobaara!
Baaghi (2016 film)
Ek Main Aur Ekk Tu
Hum Tumhare Hain Sanam
Manorama Six Feet Under
Ek Hasina Thi (film)
Hum Saath-Saath Hain
Viceroy's House (film)
Mission Kashmir
Dishoom
Murder 2
Finding Fanny
Awarapan
Sui Dhaaga
Ship of Theseus (film)
No Smoking (2007 film)
Matru Ki Bijlee Ka Mandola
Hulchul (2004 film)
Bunty Aur Babli
Manmarziyaan
Shuddh Desi Romance
Anjaana Anjaani
Deewana (1992 film)
Saajan
Dasvidaniya
Baar Baar Dekho
Lipstick Under My Burkha
Half Girlfriend (film)
Batla House
Mr. and Mrs. Khiladi
The Accidental Prime Minister (film)
Anjaam
The Tashkent Files
Padosan
Satyameva Jayate (2018 film)
Mukkabaaz
Grand Masti
Masti (2004 film)
Stanley Ka Dabba
Fire (1996 film)
De De Pyaar De
Khiladiyon Ka Khiladi
Bluffmaster!
Mumbai Meri Jaan
Chamatkar
Dor (film)
Kis Kisko Pyaar Karoon
Main Khiladi Tu Anari
Hunterrr
Jannat (film)
Welcome Back (film)
Bombay Velvet
Daawat-e-Ishq
All the Best: Fun Begins
Action Replayy
7 Khoon Maaf
Mausam (2011 film)
Salaam-e-Ishq: A Tribute to Love
Hum Hain Rahi Pyar Ke
Bhavesh Joshi Superhero
Gangster (2006 film)
Love Sex Aur Dhokha
Kismat Konnection
Malamaal Weekly
Azhar (film)
Aligarh (film)
Ki & Ka
Sangharsh (1999 film)
Total Dhamaal
Naam Shabana
Hamari Adhuri Kahani
Pyaasa
ABCD 2
Thank You (2011 film)
Joker (2012 film)
Qarib Qarib Singlle
Ghayal: Once Again
Chashme Baddoor (2013 film)
Ferrari Ki Sawaari
Judwaa
Phas Gaye Re Obama
Taal (film)
Happy Bhag Jayegi
Aarakshan
Satyagraha (film)
Mujhse Dosti Karoge!
Cheeni Kum
Tashan (film)
Bombay Talkies (film)
Housefull 4
Do Dooni Chaar
Dil (1990 film)
Nil Battey Sannata
One 2 Ka 4
PM Narendra Modi
Bhoothnath Returns
Mann (film)
Ghanchakkar (film)
Kaal (2005 film)
Hazaaron Khwaishein Aisi
A Gentleman
Shaandaar
Kurbaan (2009 film)
Angoor (1982 film)
Ek Chalis Ki Last Local
Force 2
Shakti: The Power
Biwi No.1
Parched
Mera Naam Joker
Akele Hum Akele Tum
Kaante
Mere Dad Ki Maruti
Dhol (film)
Maine Pyaar Kyun Kiya?
Blue (2009 film)
Gupt: The Hidden Truth
Batti Gul Meter Chalu
Yeh Dillagi
CityLights (2014 film)
Sabse Bada Khiladi
Deewane Huye Paagal
Fukrey Returns
Dream Girl (2019 film)
Bandit Queen
Tumhari Sulu
Fitoor
Mard Ko Dard Nahi Hota
