Title,ID,Date of release,Genre,Cast,Crew-writers,Crew-director,Plot summary,IMDB Rating,IMDB Votes
The Lunchbox,tt2350496,20 Sep 2013,"Drama, Romance","Irrfan Khan, Nimrat Kaur, Nawazuddin Siddiqui","Ritesh Batra, Vasan Bala",Ritesh Batra,A mistaken delivery in Mumbai's famously efficient lunchbox delivery system connects a young housewife to an older man in the dusk of his life as they build a fantasy world together through notes in the lunchbox.,7.8,"55,368"
Jab We Met,tt1093370,26 Oct 2007,"Comedy, Drama, Romance","Shahid Kapoor, Kareena Kapoor, Tarun Arora",Imtiaz Ali,Imtiaz Ali,A depressed wealthy businessman finds his life changing after he meets a spunky and care-free young woman.,7.9,"52,023"
Sanju,tt6452574,29 Jun 2018,"Biography, Comedy, Drama","Ranbir Kapoor, Paresh Rawal, Manisha Koirala","Abhiruchi Chand, Rajkumar Hirani, Abhijat Joshi",Rajkumar Hirani,"Biopic of the controversial life of actor Sanjay Dutt: his film career, jail sentence, and personal life.",7.6,"53,247"
Kabhi Khushi Kabhie Gham...,tt0248126,14 Dec 2001,"Drama, Musical, Romance","Shah Rukh Khan, Kajol, Amitabh Bachchan","Karan Johar, Sheena Parikh",Karan Johar,"After marrying a poor woman, rich Rahul is disowned by his father and moves to London to build a new life. Years later, his now grown up little brother Rohan embarks on a mission to bring Rahul back home and reunite the family again.",7.5,"48,833"
Dhoom 3,tt1833673,20 Dec 2013,"Action, Crime, Thriller","Aamir Khan, Katrina Kaif, Abhishek Bachchan","Vijay Krishna Acharya, Aditya Chopra",Vijay Krishna Acharya,"When Sahir, a circus entertainer trained in magic and acrobatics, turns into a thief to take down a corrupt bank in Chicago that ruined his father, Indian officers Jai and Ali are called to catch him.",5.5,"45,612"
Rab Ne Bana Di Jodi,tt1182937,12 Dec 2008,"Comedy, Drama, Music","Shah Rukh Khan, Anushka Sharma, Vinay Pathak",Aditya Chopra,Aditya Chopra,"A breathtaking, goose flesh igniting, awe inspiring love journey of an ordinary man Suri and his 'total opposite' love Taani.",7.2,"47,462"
Fan,tt3495026,15 Apr 2016,"Action, Drama, Thriller","Shah Rukh Khan, Shriya Pilgaonkar, Sayani Gupta","Maneesh Sharma, Habib Faisal, Sharat Katariya",Maneesh Sharma,"Gaurav develops an obsession with a movie star who looks just like him. He goes to Bombay to meet his idol, but he refuses to grant him five minutes of his time. Gaurav is enraged and plots to destroy his hero.",6.9,"45,206"
Udaan,tt1639426,16 Jul 2010,Drama,"Rajat Barmecha, Ronit Roy, Manjot Singh","Vikramaditya Motwane, Anurag Kashyap, Devanshu Singh",Vikramaditya Motwane,"Expelled from his school, a 16-year old boy returns home to his abusive and oppressive father.",8.1,"44,653"
Lage Raho Munna Bhai,tt1639426,16 Jul 2010,Drama,"Rajat Barmecha, Ronit Roy, Manjot Singh","Vikramaditya Motwane, Anurag Kashyap, Devanshu Singh",Vikramaditya Motwane,"Expelled from his school, a 16-year old boy returns home to his abusive and oppressive father.",8.1,"44,653"
Vishwaroopam,tt2199711,25 Jan 2013,"Action, Thriller","Pooja Kumar, Miles Anderson, Kamal Haasan","H. Banerjee, Kamal Haasan, Atul Tiwari",Kamal Haasan,"When a classical dancer's suspecting wife sets an investigator behind him, a series of violent events are triggered, revealing his real identity and connection to a darker world.",7.9,"39,900"
Raees,tt3405236,25 Jan 2017,"Action, Crime, Drama","Raj Arjun, Shah Rukh Khan, Shubham Chintamani","Rahul Dholakia, Harit Mehta, Niraj Shukla",Rahul Dholakia,A bootlegger sets out to improve his community as a promising leader but falls in a political trap.,6.7,"43,860"
Talaash: The Answer Lies Within,tt3405236,25 Jan 2017,"Action, Crime, Drama","Raj Arjun, Shah Rukh Khan, Shubham Chintamani","Rahul Dholakia, Harit Mehta, Niraj Shukla",Rahul Dholakia,A bootlegger sets out to improve his community as a promising leader but falls in a political trap.,6.7,"43,860"
Vicky Donor,tt2317337,20 Apr 2012,"Comedy, Romance","Ayushmann Khurrana, Yami Gautam, Annu Kapoor",Juhi Chaturvedi,Shoojit Sircar,"A man is brought in by an infertility doctor to supply him with his sperm, where he becomes the biggest sperm donor for his clinic.",7.8,"42,794"
Ra.One,tt1562871,26 Oct 2011,"Action, Adventure, Sci-Fi","Shah Rukh Khan, Arjun Rampal, Kareena Kapoor","David Benullo, Kanika Dhillon, Niranjan Iyengar",Anubhav Sinha,"When the titular antagonist of an action game takes on physical form, it's only the game's less powerful protagonist who can save his creator's family.",4.7,"40,898"
Om Shanti Om,tt1024943,09 Nov 2007,"Action, Comedy, Drama","Shah Rukh Khan, Deepika Padukone, Arjun Rampal","Farah Khan, Mushtaq Sheikh, Mayur Puri",Farah Khan,"In the 1970s, Om, an aspiring actor, is murdered, but is immediately reincarnated into the present day. He attempts to discover the mystery of his demise and find Shanti, the love of his previous life.",6.7,"42,626"
Rockstar,tt1839596,11 Nov 2011,"Drama, Music, Romance","Ranbir Kapoor, Nargis Fakhri, Shammi Kapoor","Imtiaz Ali, Muazzam Beg",Imtiaz Ali,"Janardhan Jakhar chases his dreams of becoming a big Rock star, during which he falls in love with Heer.",7.7,"43,738"
Devdas,tt0238936,12 Jul 2002,"Drama, Musical, Romance","Shah Rukh Khan, Aishwarya Rai Bachchan, Madhuri Dixit","Saratchandra Chatterjee, Prakash Kapadia, Sanjay Leela Bhansali",Sanjay Leela Bhansali,"After his wealthy family prohibits him from marrying the woman he is in love with, Devdas Mukherjee's life spirals further and further out of control as he takes up alcohol and a life of vice to numb the pain.",7.6,"41,546"
Uri: The Surgical Strike,tt8291224,11 Jan 2019,"Action, Drama, History","Vicky Kaushal, Paresh Rawal, Mohit Raina",Aditya Dhar,Aditya Dhar,"Indian army special forces execute a covert operation, avenging the killing of fellow army men at their base by a terrorist group.",8.2,"58,898"
Yeh Jawaani Hai Deewani,tt2178470,31 May 2013,"Drama, Musical, Romance","Ranbir Kapoor, Deepika Padukone, Aditya Roy Kapoor","Hussain Dalal, Ayan Mukherjee",Ayan Mukherjee,"Kabir and Naina bond during a trekking trip. Before Naina can express herself, Kabir leaves India to pursue his career. They meet again years later, but he still cherishes his dreams more than bonds.",7.1,"43,288"
Sultan,tt4832640,06 Jul 2016,"Action, Drama, Sport","Salman Khan, Kubbra Sait, Anushka Sharma",Ali Abbas Zafar,Ali Abbas Zafar,"Sultan is a classic underdog tale about a wrestler's journey, looking for a comeback by defeating all odds.",7.0,"45,473"
Pink,tt5571734,16 Sep 2016,"Crime, Drama, Thriller","Taapsee Pannu, Amitabh Bachchan, Kirti Kulhari","Shoojit Sircar, Aniruddha Roy Chowdhury, Ritesh Shah",Aniruddha Roy Chowdhury,"When three young women are implicated in a crime, a retired lawyer steps forward to help them clear their names.",8.1,"44,157"
