Title,ID,Date of release,Genre,Cast,Crew-writers,Crew-director,Plot summary,IMDB Rating,IMDB Votes
Dil Toh Baccha Hai Ji,tt1727496,28 Jan 2011,"Comedy, Drama, Romance","Ajay Devgn, Emraan Hashmi, Omi Vaidya","Madhur Bhandarkar, Sanjay Chhel, Kumaar",Madhur Bhandarkar,Three roommates are in search of true love. They each find a girl with whom they fall head over heels in love with. Now they just have to get the women to reciprocate.,5.9,"3,911"
Zanjeer,tt0070947,11 May 1973,"Action, Crime, Drama","Amitabh Bachchan, Jaya Bachchan, Pran Sikand","Javed Akhtar, Salim Khan",Prakash Mehra,"A tough and honest police officer clashes with a crime boss who, unbeknownst to him, happens to be his parents' murderer.",7.5,"3,936"
Court,tt3717068,17 Apr 2015,Drama,"Vira Sathidar, Vivek Gomber, Geetanjali Kulkarni",Chaitanya Tamhane,Chaitanya Tamhane,"When an aging activist is arrested, the lives of the accused, the lawyers, and the judge intertwine to reveal bigotry that underscores the judicial system.",7.6,"4,763"
Ok Jaanu,tt5764024,13 Jan 2017,"Drama, Romance","Aditya Roy Kapoor, Shraddha Kapoor, Naseeruddin Shah","Mani Ratnam, Gulzar, Sameer Rajda",Shaad Ali,"Adi and Tara move to Mumbai to pursue their dreams. A chance meeting sparks off a heady, no strings attached romance until their careers pull them apart. Will ambition prevail over matters of the heart?",5.1,"4,213"
God Tussi Great Ho,tt0476550,15 Aug 2008,"Comedy, Drama, Fantasy","Amitabh Bachchan, Salman Khan, Priyanka Chopra Jonas","Rumi Jaffery, Yunus Sajawal",Rumi Jaffery,A TV anchor keeps on blaming God for his unsuccessful life. God appears and he is given the God's Power for 10 days just to see how he manages to keep everyone happy.,3.6,"4,405"
Kyon Ki,tt0451787,03 Nov 2005,"Drama, Romance","Salman Khan, Kareena Kapoor, Rimi Sen",Sanjay Chhel,Priyadarshan,"After learning the sad truth about a patient, a female psychiatrist falls in love with him.",5.5,"4,169"
Jattu Engineer,tt6642396,19 May 2017,Comedy,"Muntazir Ahmad, Ashok Insan, Divya Insan",Gurmeet Ram Rahim Singh,"Honeypreet Insan, Gurmeet Ram Rahim Singh","A teacher works hard to better a village that has poverty, unemployment, and a drug problem.",6.2,"3,389"
Judgementall Hai Kya,tt8108196,26 Jul 2019,"Comedy, Drama, Mystery","Kangana Ranaut, Rajkummar Rao, Amyra Dastur",Kanika Dhillon,Prakash Kovelamudi,Following the story of two quirky individuals whose lives pivot between reality and illusions.,6.1,"6,495"
Meri Pyaari Bindu,tt5472374,12 May 2017,"Comedy, Drama, Romance","Ayushmann Khurrana, Parineeti Chopra, Amrita Bagchi",Suprotim Sengupta,Akshay Roy,"A successful writer Abhimanyu Roy, stuck with writers block, returns to his roots to write an old-fashioned love story.",5.9,"5,167"
Chhoti Si Baat,tt0072777,09 Jan 1976,"Comedy, Romance","Ashok Kumar, Vidya Sinha, Amol Palekar",N/A,Basu Chatterjee,A timid suitor seeks the help of a ruthless colonel to win the woman of his dreams when a bold young man begins to pursue her in this romantic comedy.,8.3,"4,113"
